,VMA number,Filename,Title on xls,Has data?,Use weight?,Fixed Mean,Fixed High,Fixed Low,Category,Directory
0,1,Current_Adoption,Current Adoption,True,False,194.88438,404.6750820426445,-14.906322042644405,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
1,2,CONVENTIONAL_First_Cost_per_Implementation_Unit_for_replaced_practices_technologies,CONVENTIONAL First Cost per Implementation Unit for replaced practices/technologies,True,True,2010.03170851964,3373.5568673016687,646.5065497376106,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
2,3,SOLUTION_First_Cost_per_Implementation_Unit,SOLUTION First Cost per Implementation Unit,True,False,1569.2962918015814,1861.6479895965472,1276.9445940066162,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
3,4,Lifetime_Capacity_CONVENTIONAL,Lifetime Capacity - CONVENTIONAL,True,True,178021.67440092622,225212.4575469707,130830.89125488167,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
4,5,Lifetime_Capacity_SOLUTION,Lifetime Capacity - SOLUTION,True,False,66700.7579,80957.46900024802,52444.04679975198,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
5,6,Average_Annual_Use_CONVENTIONAL,Average Annual Use - CONVENTIONAL,True,True,4967.648441815689,6603.246811821507,3332.0500718098688,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
6,7,Average_Annual_Use_SOLUTION,Average Annual Use - SOLUTION,True,False,2944.370769230769,3641.8794170565257,2246.8621214050127,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
7,8,CONVENTIONAL_Variable_Operating_Cost_VOM_per_Functional_Unit,CONVENTIONAL Variable Operating Cost (VOM) per Functional Unit,True,True,0.004752432167950817,0.007992783095689827,0.0015120812402118068,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
8,9,SOLUTION_Variable_Operating_Cost_VOM_per_Functional_Unit,SOLUTION Variable Operating Cost (VOM) per Functional Unit ,True,False,0.025447215325222712,0.040415277819239134,0.010479152831206295,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
9,10,CONVENTIONAL_Fixed_Operating_Cost_FOM,CONVENTIONAL Fixed Operating Cost (FOM),True,True,32.890645734335216,63.04748100463679,2.7338104640336525,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
10,11,SOLUTION_Fixed_Operating_Cost_FOM,SOLUTION Fixed Operating Cost (FOM),True,False,48.50451152804922,64.174650352518,32.83437270358041,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
11,12,Electricity_Consumed_per_Functional_Unit_CONVENTIONAL,Electricity Consumed per Functional Unit - CONVENTIONAL,False,False,,,,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
12,13,Energy_Efficiency_Factor_SOLUTION,Energy Efficiency Factor - SOLUTION,False,False,,,,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
13,14,Total_Energy_Used_per_SOLUTION_functional_unit,Total Energy Used per SOLUTION functional unit,False,False,,,,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
14,15,Fuel_Consumed_per_CONVENTIONAL_Functional_Unit,Fuel Consumed per CONVENTIONAL Functional Unit,False,False,,,,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
15,16,Fuel_Efficiency_Factor_SOLUTION,Fuel Efficiency Factor - SOLUTION,False,False,,,,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
16,17,Direct_Emissions_per_CONVENTIONAL_Functional_Unit,Direct Emissions per CONVENTIONAL Functional Unit,False,False,,,,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
17,18,Direct_Emissions_per_SOLUTION_Functional_Unit,Direct Emissions per SOLUTION Functional Unit,False,False,,,,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
18,19,Indirect_CO2_Emissions_per_CONVENTIONAL_Implementation_OR_functional_Unit_CHOOSE_ONLY_ONE_on_Advanced_Controls,Indirect CO2 Emissions per CONVENTIONAL Implementation OR functional Unit -- CHOOSE ONLY ONE on Advanced Controls,False,False,,,,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
19,20,Indirect_CO2_Emissions_per_SOLUTION_Implementation_Unit_Select_on_Advanced_Controls,Indirect CO2 Emissions per SOLUTION Implementation Unit (Select on Advanced Controls),True,False,22538.518518518522,44190.73484570513,886.30219133191,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
20,21,CH4_CO2eq_Tons_Reduced,CH4-CO2eq Tons Reduced,False,False,,,,onshorewind,drawdown-master/solution/onshorewind/vma_data/VMA_info.csv
