,Unnamed: 0,Current adoption %,Current adoption Mha,% new allocation,Total % allocated,New Mha in Solution,FileName,TemporalType,Land/Ocean,Directory
6,Conservation Agriculture,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
7,Regenerative Agriculture,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
8,Improved Rice,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
9,SRI,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
10,Tropical Forest Restoration,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
11,Temperate Forest Restoration,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
12,Afforestation,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
13,Bamboo,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
14,Multistrata Agroforestry,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
15,Perennial Bioenergy Crops,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
16,Tropical Tree Staples,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
17,Biochar,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
18,Irrigation Efficiency,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
19,Nutrient Management,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
20,Smallholder Intensification,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
21,Tree Intercropping,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
22,Grassland Protection,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
23,Farmland Restoration,0.0,0.0,0.0,0.0,0.0,AEZ28_Rainfed_Cropland_marginal_steep.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ28_Rainfed_Cropland_marginal_steep.csv
